id,chapter,match_text,focus_text,gold_pinyin,focus_pinyin,status,risk_type,confidence,occurrence_count_in_chapter,context,text_source_url,pronunciation_source_url,note
JGYL-G001,脏腑经络先后病脉证第一,脏腑,脏,zang4 fu3,zang4,gold,medical_polyphone,high_for_engineering_benchmark,3,千般疢难，不越三条：一者，经络受邪，入脏腑，为内所因也；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,脏腑义读 zang4 fu3。
JGYL-G002,脏腑经络先后病脉证第一,中人多死,中,zhong4 ren2 duo1 si3,zhong4,gold,semantic_polyphone,high_for_engineering_benchmark,1,客气邪风，中人多死。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,“中人”指邪气伤人，中读 zhong4。
JGYL-G003,脏腑经络先后病脉证第一,疢难,疢,chen4 nan4,chen4,gold,rare_or_classical,high_for_engineering_benchmark,1,千般疢难，不越三条：一者，经络受邪，入脏腑，为内所因也；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hant/%E7%96%A2,疢读 chen4。
JGYL-G004,脏腑经络先后病脉证第一,干忤,忤,gan1 wu3,wu3,gold,rare_or_classical,high_for_engineering_benchmark,1,若人能养慎，不令邪风干忤经络；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hans/%E5%B9%B2%E5%BF%A4,干忤读 gan1 wu3。
JGYL-G005,脏腑经络先后病脉证第一,腠理,腠,cou4 li3,cou4,gold,medical_term,high_for_engineering_benchmark,1,服食节其冷热苦酸辛甘，不遗形体有衰，病则无由入其腠理。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,腠读 cou4。
JGYL-G006,脏腑经络先后病脉证第一,喑喑然,喑喑,yin1 yin1 ran2,yin1 yin1,gold,rare_or_classical,high_for_engineering_benchmark,1,语声喑喑然不彻者，心膈间病；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,https://www.zdic.net/hant/%E5%96%91%E5%96%91,喑喑读 yin1 yin1。
JGYL-G007,脏腑经络先后病脉证第一,啾啾然,啾啾,jiu1 jiu1 ran2,jiu1 jiu1,gold,rare_or_classical,high_for_engineering_benchmark,1,语声啾啾然细而长者，头中病。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,啾啾读 jiu1 jiu1。
JGYL-G008,脏腑经络先后病脉证第一,肺痿,痿,fei4 wei3,wei3,gold,medical_term,high_for_engineering_benchmark,1,息张口短气者，肺痿唾沫。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,肺痿之痿读 wei3。
JGYL-G009,脏腑经络先后病脉证第一,微数,数,wei1 shuo4,shuo4,gold,medical_polyphone,high_for_engineering_benchmark,1,师曰：吸而微数，其病在中焦，实也，当下之即愈；,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,脉象数读 shuo4。
JGYL-G010,脏腑经络先后病脉证第一,寸口脉,寸口,cun4 kou3 mai4,cun4 kou3,gold,medical_term,high_for_engineering_benchmark,1,师曰：寸口脉动者，因其旺时而动，假令肝旺色青，四时各随其色。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,寸口脉。
JGYL-G011,痉湿暍病脉证并治第二,刚痉,痉,gang1 jing4,jing4,gold,medical_term,high_for_engineering_benchmark,2,太阳病，发热无汗，反恶寒者，名曰刚痉。,https://zh.wikisource.org/zh-hans/%E9%87%91%E5%8C%B1%E8%A6%81%E7%95%A5,,痉读 jing4。
