id,work,match_text,focus_text,gold_pinyin,status,risk_type,context,source_url,source_basis
SHX-G001,伤寒论序,入虢之诊,虢,guo2,gold,rare_or_classical,《伤寒论序》张仲景论曰：余每览越人入虢之诊、望齐侯之色，未尝不慨然叹其才秀也。怪当今居世之士，曾不留神医药，精究方术，上以…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G002,伤寒论序,望齐侯之色,齐侯,qi2 hou2,gold,proper_name,《伤寒论序》张仲景论曰：余每览越人入虢之诊、望齐侯之色，未尝不慨然叹其才秀也。怪当今居世之士，曾不留神医药，精究方术，上以疗君亲之疾，…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G003,伤寒论序,精究方术,方术,fang1 shu4,gold,classical_usage,…览越人入虢之诊、望齐侯之色，未尝不慨然叹其才秀也。怪当今居世之士，曾不留神医药，精究方术，上以疗君亲之疾，下以救贫贱之厄，中以保身长全，以养其生。但竞逐荣势，企踵权豪，…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G004,伤寒论序,保身长全,长,chang2,gold,polyphone,…也。怪当今居世之士，曾不留神医药，精究方术，上以疗君亲之疾，下以救贫贱之厄，中以保身长全，以养其生。但竞逐荣势，企踵权豪，孜孜汲汲，惟名利是务，崇饰其末，忽弃其本，华其…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G005,伤寒论序,卒然遭邪风之气,卒,cu4,gold,polyphone,…孜孜汲汲，惟名利是务，崇饰其末，忽弃其本，华其外而悴其内。皮之不存，毛将安附焉？卒然遭邪风之气，婴非常之疾，患及祸至，而方震栗；降志屈节，钦望巫祝，告穷归天，束手受败。赍百年…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G006,伤寒论序,卒然遭邪风之气,邪风,xie2 feng1,gold,classical_usage,…孜孜汲汲，惟名利是务，崇饰其末，忽弃其本，华其外而悴其内。皮之不存，毛将安附焉？卒然遭邪风之气，婴非常之疾，患及祸至，而方震栗；降志屈节，钦望巫祝，告穷归天，束手受败。赍百年…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G007,伤寒论序,降志屈节,降,jiang4,gold,polyphone,…而悴其内。皮之不存，毛将安附焉？卒然遭邪风之气，婴非常之疾，患及祸至，而方震栗；降志屈节，钦望巫祝，告穷归天，束手受败。赍百年之寿命，持至贵之重器，委付凡医，恣其所措。…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G008,伤寒论序,降志屈节,屈节,qu1 jie2,gold,classical_usage,…而悴其内。皮之不存，毛将安附焉？卒然遭邪风之气，婴非常之疾，患及祸至，而方震栗；降志屈节，钦望巫祝，告穷归天，束手受败。赍百年之寿命，持至贵之重器，委付凡医，恣其所措。…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G009,伤寒论序,幽潜重泉,重,chong2,gold,polyphone,…寿命，持至贵之重器，委付凡医，恣其所措。咄嗟呜呼！厥身已毙，神明消灭，变为异物，幽潜重泉，徒为啼泣。痛夫！举世昏迷，莫能觉悟，不惜其命。若是轻生，彼何荣势之云哉？而…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G010,伤寒论序,莫能觉悟,觉,jue2,gold,polyphone,…咄嗟呜呼！厥身已毙，神明消灭，变为异物，幽潜重泉，徒为啼泣。痛夫！举世昏迷，莫能觉悟，不惜其命。若是轻生，彼何荣势之云哉？而进不能爱人知人，退不能爱身知己，遇灾值祸…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G011,伤寒论序,忘躯徇物,徇,xun4,gold,rare_or_classical,…己，遇灾值祸，身居厄地，蒙蒙昧昧，蠢若游魂。哀乎！趋世之士，驰竞浮华，不固根本，忘躯徇物，危若冰谷，至于是也！余宗族素多，向余二百。建安纪年以来，犹未十稔，其死亡者，三…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G012,伤寒论序,犹未十稔,稔,ren3,gold,rare_character,…华，不固根本，忘躯徇物，危若冰谷，至于是也！余宗族素多，向余二百。建安纪年以来，犹未十稔，其死亡者，三分有二，伤寒十居其七。感往昔之沦丧，伤横夭之莫救，乃勤求古训，博采…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G013,伤寒论序,胎胪药录,胎胪,tai1 lu2,gold,rare_or_classical,…之莫救，乃勤求古训，博采众方，撰用《素问》、《九卷》、《八十一难》、《阴阳大论》、《胎胪药录》，并平脉辨证，为《伤寒杂病论》合十六卷，虽未能尽愈诸病，庶可以见病知源，若能寻余所…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G014,伤寒论序,夫天布五行,夫,fu2,gold,classical_pronunciation,…《伤寒杂病论》合十六卷，虽未能尽愈诸病，庶可以见病知源，若能寻余所集，思过半矣。夫天布五行，以运万类，人禀五常，以有五脏，经络府俞，阴阳会通，玄冥幽微，变化难极，自非才高识妙…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G015,伤寒论序,夫天布五行,五行,wu3 xing2,gold,semantic_polyphone,…《伤寒杂病论》合十六卷，虽未能尽愈诸病，庶可以见病知源，若能寻余所集，思过半矣。夫天布五行，以运万类，人禀五常，以有五脏，经络府俞，阴阳会通，玄冥幽微，变化难极，自非才高识妙…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G016,伤寒论序,以有五脏,五脏,wu3 zang4,gold,medical_term,…愈诸病，庶可以见病知源，若能寻余所集，思过半矣。夫天布五行，以运万类，人禀五常，以有五脏，经络府俞，阴阳会通，玄冥幽微，变化难极，自非才高识妙，岂能探其理致哉？上古有神…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G017,伤寒论序,经络府俞,府俞,fu3 shu4,gold,medical_term,…可以见病知源，若能寻余所集，思过半矣。夫天布五行，以运万类，人禀五常，以有五脏，经络府俞，阴阳会通，玄冥幽微，变化难极，自非才高识妙，岂能探其理致哉？上古有神农、黄帝、…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G018,伤寒论序,少俞、少师,少俞,shao4 yu2,gold,proper_name,…微，变化难极，自非才高识妙，岂能探其理致哉？上古有神农、黄帝、岐伯、伯高、雷公、少俞、少师、仲文，中世有长桑、扁鹊，汉有公乘阳庆及仓公，下此以往，未之闻也。观今之医，不念…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G019,伤寒论序,少俞、少师,少师,shao4 shi1,gold,proper_name,…微，变化难极，自非才高识妙，岂能探其理致哉？上古有神农、黄帝、岐伯、伯高、雷公、少俞、少师、仲文，中世有长桑、扁鹊，汉有公乘阳庆及仓公，下此以往，未之闻也。观今之医，不念…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G020,伤寒论序,中世有长桑,长桑,chang2 sang1,gold,proper_name,…才高识妙，岂能探其理致哉？上古有神农、黄帝、岐伯、伯高、雷公、少俞、少师、仲文，中世有长桑、扁鹊，汉有公乘阳庆及仓公，下此以往，未之闻也。观今之医，不念思求经旨，以演其所…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G021,伤寒论序,扁鹊,扁,bian3,gold,proper_name,…能探其理致哉？上古有神农、黄帝、岐伯、伯高、雷公、少俞、少师、仲文，中世有长桑、扁鹊，汉有公乘阳庆及仓公，下此以往，未之闻也。观今之医，不念思求经旨，以演其所知，各…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G022,伤寒论序,公乘阳庆,乘,sheng4,gold,proper_name,…哉？上古有神农、黄帝、岐伯、伯高、雷公、少俞、少师、仲文，中世有长桑、扁鹊，汉有公乘阳庆及仓公，下此以往，未之闻也。观今之医，不念思求经旨，以演其所知，各承家技，终始顺…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G023,伤寒论序,省疾问病,省,xing3,gold,polyphone,…下此以往，未之闻也。观今之医，不念思求经旨，以演其所知，各承家技，终始顺旧。省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G024,伤寒论序,务在口给,给,ji3,gold,polyphone,…未之闻也。观今之医，不念思求经旨，以演其所知，各承家技，终始顺旧。省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G025,伤寒论序,相对斯须,相,xiang1,gold,polyphone,…观今之医，不念思求经旨，以演其所知，各承家技，终始顺旧。省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G026,伤寒论序,便处汤药,处,chu3,gold,polyphone,…医，不念思求经旨，以演其所知，各承家技，终始顺旧。省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知决诊，九候…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G027,伤寒论序,人迎趺阳,趺阳,fu1 yang2,gold,medical_term,…家技，终始顺旧。省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知决诊，九候曾无仿佛，明堂阙庭，尽不见察，所谓…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G028,伤寒论序,三部不参,参,can1,gold,polyphone,…顺旧。省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知决诊，九候曾无仿佛，明堂阙庭，尽不见察，所谓窥管而已。…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G029,伤寒论序,动数发息,数,shu4,gold,polyphone,…省疾问病，务在口给，相对斯须，便处汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知决诊，九候曾无仿佛，明堂阙庭，尽不见察，所谓窥管而已。夫欲视…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G030,伤寒论序,九候曾无仿佛,仿佛,fang3 fu2,gold,polyphone,…汤药，按寸不及尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知决诊，九候曾无仿佛，明堂阙庭，尽不见察，所谓窥管而已。夫欲视死别生，实为难矣！孔子云：生而知之…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G031,伤寒论序,明堂阙庭,阙,que4,gold,polyphone,…尺，握手不及足，人迎趺阳，三部不参，动数发息，不满五十，短期未知决诊，九候曾无仿佛，明堂阙庭，尽不见察，所谓窥管而已。夫欲视死别生，实为难矣！孔子云：生而知之者上。学则…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G032,伤寒论序,夫欲视死别生,夫,fu2,gold,classical_pronunciation,…数发息，不满五十，短期未知决诊，九候曾无仿佛，明堂阙庭，尽不见察，所谓窥管而已。夫欲视死别生，实为难矣！孔子云：生而知之者上。学则亚之。多闻博识，知之次也。余宿尚方术，…,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
SHX-G033,伤寒论序,余宿尚方术,宿,su4,gold,polyphone,…夫欲视死别生，实为难矣！孔子云：生而知之者上。学则亚之。多闻博识，知之次也。余宿尚方术，请事斯语。,https://www.cngwzj.com/pygushi/LiangHan/87734/,拼音全文
