id,chapter,match_text,focus_text,gold_pinyin,recommended_pinyin,candidate_pinyin,status,risk_type,confidence,occurrence_count_in_chapter,context,primary_source_url,secondary_source_url,note
HNSW-G001,上古天真论篇第一,徇齐,徇齐,xun4 qi2,,,gold,rare_or_classical,high_for_benchmark,1,昔在黄帝，生而神灵，弱而能言，幼而徇齐，长而敦敏，成而登天。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G002,上古天真论篇第一,术数,术数,shu4 shu4,,,gold,polyphone,high_for_benchmark,1,岐伯对曰：“上古之人，其知道者，法于阴阳，和于术数，食饮有节，起居有常，不妄作劳，故能形与神俱，而尽终其天年，度百岁乃去。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G003,上古天真论篇第一,齿更,更,chi3 geng1,,,gold,polyphone,high_for_benchmark,2,岐伯曰：“女子七岁，肾气盛，齿更发长。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G004,上古天真论篇第一,天癸,天癸,tian1 gui3,,,gold,medical_term,high_for_benchmark,5,二七而天癸至，任脉通，太冲脉盛，月事以时下，故有子；,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G005,上古天真论篇第一,任脉,任脉,ren4 mai4,,,gold,medical_term,high_for_benchmark,2,二七而天癸至，任脉通，太冲脉盛，月事以时下，故有子；,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G006,上古天真论篇第一,太冲脉,太冲脉,tai4 chong1 mai4,,,gold,medical_term,high_for_benchmark,2,二七而天癸至，任脉通，太冲脉盛，月事以时下，故有子；,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G007,上古天真论篇第一,颁白,颁,ban1 bai2,,,gold,classical_usage,high_for_benchmark,1,六八，阳气衰竭于上，面焦，发鬓颁白；,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G008,上古天真论篇第一,肾藏,藏,shen4 zang4,,,gold,polyphone,high_for_benchmark,1,七八，肝气衰，筋不能动，天癸竭，精少，肾藏衰，形体皆极；,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G009,上古天真论篇第一,五藏,藏,wu3 zang4,,,gold,medical_polyphone,high_for_benchmark,3,肾者主水，受五藏六府之精而藏之，故五藏盛乃能写。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G010,上古天真论篇第一,六府,府,liu4 fu3,,,gold,medical_term,high_for_benchmark,1,肾者主水，受五藏六府之精而藏之，故五藏盛乃能写。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G011,上古天真论篇第一,提挈,挈,ti2 qie4,,,gold,rare_or_classical,high_for_benchmark,1,黄帝曰：“余闻上古有真人者，提挈天地，把握阴阳，呼吸精气，独立守神，肌肉若一，故能寿敝天地，无有终时，此其道生。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G012,上古天真论篇第一,恚嗔,恚嗔,hui4 chen1,,,gold,rare_or_classical,high_for_benchmark,1,无恚嗔之心，行不欲离于世，被服章，举不欲观于俗，外不劳形于事，内无思想之患，以恬愉为务，以自得为功，形体不敝，精神不散，亦可以百数。,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,,
HNSW-G013,上古天真论篇第一,精气溢写,写,,jing1 qi4 yi4 xie4,jing1 qi4 yi4 xie3|jing1 qi4 yi4 xie4,review_required,tongjia,review,1,二八，肾气盛，天癸至，精气溢写，阴阳和，故能有子；,https://classicstcm.com/classics/huangdi-neijing-suwen/on-innate-vitality-in-antiquity/,https://ctext.org/huangdi-neijing/suwen/zhs,“写/寫”在此常释为通“泻/瀉”。是否按本字 xie3 还是按通假义 xie4 朗读，需要先固定项目的通假字朗读政策；暂不计硬分。
HNSW-G014,四气调神大论篇第二,发陈,发陈,fa1 chen2,,,gold,classical_usage,high_for_benchmark,1,春三月，此谓发陈。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G015,四气调神大论篇第二,蕃秀,蕃,fan2 xiu4,,,gold,polyphone,high_for_benchmark,1,夏三月，此谓蕃秀。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G016,四气调神大论篇第二,痎疟,痎疟,jie1 nve4,,,gold,medical_term,high_for_benchmark,1,逆之则伤心，秋为痎疟，奉收者少，冬至重病。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,https://www.zdic.net/hans/%E7%97%8E%E7%96%9F,
HNSW-G017,四气调神大论篇第二,飧泄,飧泄,sun1 xie4,,,gold,medical_term,high_for_benchmark,1,逆之则伤肺，冬为飧泄，奉藏者少。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,https://www.zdic.net/hant/%E9%A3%A7%E6%B3%84,
HNSW-G018,四气调神大论篇第二,闭藏,藏,bi4 cang2,,,gold,polyphone,high_for_benchmark,1,冬三月，此谓闭藏。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G019,四气调神大论篇第二,地坼,坼,di4 che4,,,gold,rare_or_classical,high_for_benchmark,1,水冰地坼，无扰乎阳。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G020,四气调神大论篇第二,亟夺,亟,ji2 duo2,,,gold,polyphone,high_for_benchmark,1,早卧晚起，必待日光，使志若伏若匿，若有私意，若已有得，去寒就温，无泄皮肤，使气亟夺。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G021,四气调神大论篇第二,痿厥,痿厥,wei3 jue2,,,gold,medical_term,high_for_benchmark,1,逆之则伤肾，春为痿厥，奉生者少。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G022,四气调神大论篇第二,菀稿,菀稿,wan3 gao3,,,gold,text_variant,high_for_benchmark,1,恶气不发，风雨不节，白露不下，则菀稿不荣。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,当前测试文本作“菀稿”；底本常见“菀稾/菀槁”，这里以该语境读音 wan3 gao3 作为工程 Gold。
HNSW-G023,四气调神大论篇第二,数至,数,shuo4 zhi4,,,gold,polyphone,high_for_benchmark,1,贼风数至，暴雨数起，天地四时不相保，与道相失，则未央绝灭。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G024,四气调神大论篇第二,数起,数,shuo4 qi3,,,gold,polyphone,high_for_benchmark,1,贼风数至，暴雨数起，天地四时不相保，与道相失，则未央绝灭。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G025,四气调神大论篇第二,少阳,少,shao4 yang2,,,gold,medical_polyphone,high_for_benchmark,1,逆春气，则少阳不生，肝气内变。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G026,四气调神大论篇第二,少阴,少,shao4 yin1,,,gold,medical_polyphone,high_for_benchmark,1,逆秋气，则少阴不收，肺气焦满。,https://classicstcm.com/classics/huangdi-neijing-suwen/regulating-the-spirit-in-the-four-seasons/,,
HNSW-G027,生气通天论篇第三,六合,合,liu4 he2,,,gold,classical_usage,high_for_benchmark,1,天地之间，六合之内，其气九州九窍、五藏、十二节，皆通乎天气。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G028,生气通天论篇第三,九窍,窍,jiu3 qiao4,,,gold,medical_term,high_for_benchmark,3,天地之间，六合之内，其气九州九窍、五藏、十二节，皆通乎天气。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G029,生气通天论篇第三,数犯,数,shuo4 fan4,,,gold,polyphone,high_for_benchmark,1,其生五，其气三，数犯此者，则邪气伤人，此寿命之本也。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G030,生气通天论篇第三,折寿,折,zhe2 shou4,,,gold,polyphone,high_for_benchmark,1,阳气者，若天与日，失其所则折寿而不彰，故天运当以日光明，是故阳因而上卫外者也。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G031,生气通天论篇第三,运枢,枢,yun4 shu1,,,gold,medical_term,high_for_benchmark,1,因于寒，欲如运枢，起居如惊，神气乃浮。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G032,生气通天论篇第三,喘喝,喝,,chuan3 he1,chuan3 he1|chuan3 he4,review_required,source_conflict,review,1,因于暑，汗，烦则喘喝，静则多言，体若燔炭，汗出而散。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,https://www.zdic.net/hans/%E5%96%98%E5%96%9D,公开资料存在分歧：汉典词条对《素问》该语境标作 hē，而 Classica Sinica Medica 当前页面拼作 hè；暂不计硬分。
HNSW-G033,生气通天论篇第三,燔炭,燔,fan2 tan4,,,gold,rare_or_classical,high_for_benchmark,1,因于暑，汗，烦则喘喝，静则多言，体若燔炭，汗出而散。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G034,生气通天论篇第三,緛短,緛,ruan3 duan3,,,gold,rare_character,high_for_benchmark,2,因于湿，首如裹，湿热不攘，大筋緛短，小筋弛长，緛短为拘，弛长为痿。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,https://dict.variants.moe.edu.tw/dictView.jsp?ID=66623,
HNSW-G035,生气通天论篇第三,弛长,长,chi2 chang2,,,gold,polyphone,high_for_benchmark,2,因于湿，首如裹，湿热不攘，大筋緛短，小筋弛长，緛短为拘，弛长为痿。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G036,生气通天论篇第三,煎厥,煎厥,jian1 jue2,,,gold,medical_term,high_for_benchmark,1,阳气者，烦劳则张，精绝，辟积于夏，使人煎厥。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
HNSW-G037,生气通天论篇第三,汨汨,汨汨,,gu3 gu3,mi4 mi4|gu3 gu3,review_required,text_variant,review,1,目盲不可以视，耳闭不可以听，溃溃乎若坏都，汨汨乎不可止。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,https://dict.revised.moe.edu.tw/dictView.jsp?ID=71123&la=0&powerMode=0,当前 v01.txt 写作“汨汨”；所对照底本简体显示为“汩汩”，教育部辞典“汩汩”读 gǔ gǔ。这里首先是文本校勘问题，建议修正文后再纳入硬 Gold。
HNSW-G038,生气通天论篇第三,血菀,菀,xue4 yun4,,,gold,rare_or_classical,high_for_benchmark,1,阳气者，大怒则形气绝，而血菀于上，使人薄厥。,https://classicstcm.com/classics/huangdi-neijing-suwen/vital-qi-communicating-with-heaven/,,
