id,chapter,match_text,focus_text,gold_pinyin,focus_pinyin,status,risk_type,confidence,occurrence_count_in_chapter,context,text_source_url,pronunciation_source_url,note
SHL-G001,辨太阳病脉证并治（上）,恶寒,恶,wu4 han2,wu4,gold,medical_polyphone,high_for_engineering_benchmark,6,太阳之为病，脉浮，头项强痛而恶寒。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,“恶寒”中“恶”读 wu4。
SHL-G002,辨太阳病脉证并治（上）,中风,中,zhong4 feng1,zhong4,gold,medical_polyphone,high_for_engineering_benchmark,2,太阳病，发热，汗出，恶风，脉缓者，名为中风。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,病名/受邪义，“中”读 zhong4。
SHL-G003,辨太阳病脉证并治（上）,脉数急,数,mai4 shuo4 ji2,shuo4,gold,medical_polyphone,high_for_engineering_benchmark,1,颇欲吐，若躁烦，脉数急者，为传也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,脉象“数”读 shuo4。
SHL-G004,辨太阳病脉证并治（上）,失溲,溲,shi1 sou1,sou1,gold,rare_or_classical,high_for_engineering_benchmark,1,若被下者，小便不利，直视失溲；,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,“溲”读 sou1。
SHL-G005,辨太阳病脉证并治（上）,惊痫,痫,jing1 xian2,xian2,gold,medical_term,high_for_engineering_benchmark,1,若被火者，微发黄色，剧则如惊痫，时瘈疭；,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,痫读 xian2。
SHL-G006,辨太阳病脉证并治（上）,瘈疭,瘈疭,chi4 zong4,chi4 zong4,gold,medical_term,high_for_engineering_benchmark,1,若被火者，微发黄色，剧则如惊痫，时瘈疭；,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,https://www.zdic.net/hans/%E7%98%88%E7%98%B2,现代工程口径采用 chì zòng。
SHL-G007,辨太阳病脉证并治（上）,阳数七,数,yang2 shu4 qi1,shu4,gold,semantic_polyphone,high_for_engineering_benchmark,1,发于阳七日愈，发于阴六日愈，以阳数七，阴数六故也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,此处“数”为数目，读 shu4。
SHL-G008,辨太阳病脉证并治（上）,阴数六,数,yin1 shu4 liu4,shu4,gold,semantic_polyphone,high_for_engineering_benchmark,1,发于阳七日愈，发于阴六日愈，以阳数七，阴数六故也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,此处“数”为数目，读 shu4。
SHL-G009,辨太阳病脉证并治（上）,啬啬,啬啬,se4 se4,se4 se4,gold,rare_or_classical,high_for_engineering_benchmark,1,啬啬恶寒，淅淅恶风，翕翕发热，鼻鸣干呕者，桂枝汤主之。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,叠词。
SHL-G010,辨太阳病脉证并治（上）,淅淅,淅淅,xi1 xi1,xi1 xi1,gold,rare_or_classical,high_for_engineering_benchmark,1,啬啬恶寒，淅淅恶风，翕翕发热，鼻鸣干呕者，桂枝汤主之。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,叠词。
SHL-G011,辨太阳病脉证并治（上）,翕翕,翕翕,xi1 xi1,xi1 xi1,gold,rare_or_classical,high_for_engineering_benchmark,1,啬啬恶寒，淅淅恶风，翕翕发热，鼻鸣干呕者，桂枝汤主之。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,叠词。
SHL-G012,辨太阳病脉证并治（上）,项背强几几,几几,,,review_required,textual_or_pronunciation_dispute,review,1,太阳病，项背强几几者，反汗出恶风者，桂枝加葛根汤主之。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,“几几”历来有 shū shū、jī jī 等读法争议，本集不硬判。
SHL-G013,辨太阳病脉证并治（上）,葛根汤,葛,ge2 gen1 tang1,ge2,gold,medical_term,high_for_engineering_benchmark,1,太阳病，项背强几几者，反汗出恶风者，桂枝加葛根汤主之。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,“葛根”读 ge2 gen1。
SHL-G014,辨太阳病脉证并治（上）,温针,针,wen1 zhen1,zhen1,gold,medical_term,high_for_engineering_benchmark,1,太阳病三日，已发汗，若吐、若下、若温针，仍不解者，此为坏病，桂枝不中与之也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,针读 zhen1。
SHL-G015,辨太阳病脉证并治（上）,厚朴,朴,hou4 po4,po4,gold,medical_term,high_for_engineering_benchmark,1,喘家作桂枝汤，加厚朴杏子佳。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,药名“厚朴”读 hou4 po4。
SHL-G016,辨太阳病脉证并治（中）,厥逆,厥,jue2 ni4,jue2,gold,medical_term,high_for_engineering_benchmark,1,服之则厥逆，筋惕肉瞤，此为逆也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,厥读 jue2。
SHL-G017,辨太阳病脉证并治（中）,筋惕,惕,jin1 ti4,ti4,gold,medical_term,high_for_engineering_benchmark,1,服之则厥逆，筋惕肉瞤，此为逆也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,惕读 ti4。
SHL-G018,辨太阳病脉证并治（中）,肉瞤,瞤,,,review_required,pronunciation_dispute,review,1,服之则厥逆，筋惕肉瞤，此为逆也。,https://zh.wikisource.org/zh-hans/%E5%82%B7%E5%AF%92%E8%AB%96,,“瞤”有 run2/shun4 等读法，经典医籍语境需另定项目口径。
